"id","name","description","created_at","updated_at"
"1","radical","","2010-03-09 22:00:52","2010-03-09 22:00:52"
"2","classical_radical","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"3","halpern","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"4","nelson","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"5","new_nelson","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"6","japanese_for_busy_people","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"7","kanji_way","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"8","japanese_flashcards","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"9","kodansha","","2010-03-09 22:00:53","2010-03-09 22:00:53"
"10","hensall","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"11","kanji_in_context","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"12","kanji_learners_dictionary","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"13","french_heisig","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"14","o_neill","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"15","de_roo","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"16","sakade","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"17","tuttle_flash_card","","2010-03-09 22:00:54","2010-03-09 22:00:54"
"18","tuttle_dictionary","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"19","tuttle_kanji_and_kana","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"20","unicode","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"21","four_corner","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"22","heisig","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"23","morohashi_index","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"24","morohashi_volume_page","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"25","henshall","","2010-03-09 22:00:55","2010-03-09 22:00:55"
"26","gakken","","2010-03-09 22:00:56","2010-03-09 22:00:56"
"27","japanese_names","","2010-03-09 22:00:56","2010-03-09 22:00:56"
"28","cross_reference","","2010-03-09 22:00:56","2010-03-09 22:00:56"
"29","misclassification","","2010-03-09 22:00:56","2010-03-09 22:00:56"
